ID,Rating,Paygrade,Exam_Area,Subject,Concentration,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,Source_Manual,Source_File,Source_URL,Page,Manual_Edition,Verbatim_Quote,Quote_Verified,Check_Notes,Judge_Verdict,Judge_Notes
ADV023,PS,E-5,Education Services,Final Multiple Score,Advancement Exam Worksheet,When does the EAW worksheet close for SELRES candidates?,1 week after the exam date,The last day of the exam administration month,30 days after the exam date,On the exam date,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=57,57,"1430.16H, 21 Jan 2026","For SELRES candidates, the worksheet will “close” on the last day of the exam administration month.",PASS,Found on stated page.,PASS,
ADV024,PS,E-5,Education Services,Final Multiple Score,Advancement Exam Worksheet,How is active duty TIR treated relative to SELRES TIG in the same pay grade?,Only the longer of the two counts,They are tracked separately,They are combined,SELRES TIG is not credited,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=57,57,"1430.16H, 21 Jan 2026",Active duty TIR and SELRES TIG in same pay grade is combined.,PASS,Found on stated page.,PASS,
ADV025,PS,E-6,Manning & Manpower Management,Effecting Advancement,Frocking,Which reference governs frocking of enlisted personnel for the NWAE?,OPNAVINST 6110.1L,BUPERSINST 1610.10H,MILPERSMAN 1420-060,MILPERSMAN 1306-100,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=117,117,"1430.16H, 21 Jan 2026","For NWAE, COs and OICs may frock enlisted personnel per MILPERSMAN 1420-060; members may decline frocking.",PASS,Found on stated page.,PASS,
ADV026,PS,E-6,Manning & Manpower Management,Effecting Advancement,Frocking,What is the effect of removing a Sailor's frocking?,It cancels the advancement selection,It does not remove his or her selection for advancement,It resets time in rate,It requires a new selection board,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=117,117,"1430.16H, 21 Jan 2026",Removing a Sailor’s frocking does not remove his or her selection for advancement.,PASS,Found on stated page.,PASS,
ADV027,PS,E-4,Manning & Manpower Management,Alternative Advancement,Meritorious Advancement Program,MAP grants authority to advance eligible personnel in which pay grades?,E-5 and E-6 only,"E-3, E-4, and E-5","E-2, E-3, and E-4","E-4, E-5, and E-6",B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=136,136,"1430.16H, 21 Jan 2026","to advance eligible personnel in the pay grades of E-3, E-4, and E-5 to the next-higher pay grade",PASS,Found on stated page.,PASS,
ADV028,PS,E-5,Manning & Manpower Management,Alternative Advancement,Meritorious Advancement Program,In what year was the Meritorious Advancement Program established?,2013,2011,2015,2018,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=136,136,"1430.16H, 21 Jan 2026",MAP was established in 2015 as one of the Navy’s talent management initiatives,PASS,Found on stated page.,PASS,
ADV029,PS,E-5,Manning & Manpower Management,Alternative Advancement,Meritorious Advancement Program,What is the minimum period of temporary assignment for MAP eligibility at the certifying command?,14 consecutive days,90 consecutive days,30 consecutive days,60 consecutive days,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=136,136,"1430.16H, 21 Jan 2026",must be permanently assigned or temporarily assigned (minimum of 30 consecutive days) to the command certifying the meritorious advancement,PASS,Found on stated page.,PASS,
ADV030,PS,E-5,Manning & Manpower Management,Alternative Advancement,Meritorious Advancement Program,Through which system is MAP executed?,BOL,NETPDC 1430/3,NSIPS,MyNavy Assignment,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=137,137,"1430.16H, 21 Jan 2026",Execution of MAP is accomplished via the Navy Standard Integrated Personnel System (NSIPS).,PASS,Found on stated page.,PASS,
ADV031,PS,E-5,Manning & Manpower Management,Alternative Advancement,Command Advance to Position,Sailors within how many months of their PRD must use the Detailing Marketplace instead of CA2P?,18 months,6 months,9 months,12 months,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=137,137,"1430.16H, 21 Jan 2026",Sailors within 12 months of PRD must utilize the Detailing Marketplace.,PASS,Found on stated page.,PASS,
ADV032,PS,E-5,Manning & Manpower Management,Alternative Advancement,Command Advance to Position,"For most ratings, within what period must a CA2P billet be currently vacant or become vacant?",3 months,12 months,14 months,6 months,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=137,137,"1430.16H, 21 Jan 2026","The billet must be valid, funded, currently vacant, or will become vacant within 6 months.",PASS,Found on stated page.,PASS,
ADV033,PS,E-5,Manning & Manpower Management,Alternative Advancement,Command Advance to Position,"For non-nuclear submarine ratings, within what period must a CA2P billet become vacant?",9 months,14 months,12 months,6 months,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=137,137,"1430.16H, 21 Jan 2026","For non-nuclear submarine ratings, the billet must be valid, funded, currently vacant or will become vacant within 14 months.",PASS,Found on stated page.,PASS,
ADV034,PS,E-5,Manning & Manpower Management,Billet-Based Advancement,Billet-Based Advancement Ratings,Is time in rate a requirement for participation in the rating knowledge examination?,No,Only for E-6 candidates,"Yes, 36 months","Yes, 12 months",A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=150,150,"1430.16H, 21 Jan 2026",TIR is not a requirement for participation in the RKE.,PASS,Found on stated page.,PASS,
ADV035,PS,E-5,Manning & Manpower Management,Billet-Based Advancement,Billet-Based Advancement Ratings,In which months is RKE exam administration conducted?,February and August,January and July,March and September,April and October,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=150,150,"1430.16H, 21 Jan 2026",Exam administration will continue to be in March and September.,PASS,Found on stated page.,PASS,
ADV036,PS,E-5,Manning & Manpower Management,Billet-Based Advancement,Billet-Based Advancement Ratings,Which promotion recommendation constitutes an official recommendation for advancement?,Must Promote or higher,Promotable or higher,Progressing or higher,Early Promote only,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=150,150,"1430.16H, 21 Jan 2026",a promotion recommendation of “promotable” or higher constitutes an official recommendation for advancement,PASS,Found on stated page.,PASS,
ADV037,PS,E-7,Manning & Manpower Management,Billet-Based Advancement,Senior Enlisted Marketplace,What is the minimum time in rate for advancement from E-7 to E-8?,36 months,24 months,30 months,48 months,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=155,155,"1430.16H, 21 Jan 2026","a. Minimum TIR (1) E-6 to E-7 – 36 months, refer to subparagraph 212 for early promote waivers (2) E-7 to E-8 – 36 months (3) E-8 to E-9 – 36 months",PASS,Found on stated page.,PASS,
ADV038,PS,E-6,Manning & Manpower Management,Billet-Based Advancement,Senior Enlisted Marketplace,When are E-6 Sailors screened for E-7 who have completed CPO induction frocked?,On 1 January each year,On the date of the selection board,On or around September 15th of each year,On or around 1 July each year,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=155,155,"1430.16H, 21 Jan 2026",E-6 Sailors screened for E-7 who have completed chief petty officer (CPO) induction will be frocked on or around September 15th of each year as dictated by annual CPO guidance.,PASS,Found on stated page.,PASS,Flagged WEAK_PROOF by outside review; quote widened to carry the answer.
ADV039,PS,E-5,Manning & Manpower Management,Billet-Based Advancement,Senior Enlisted Marketplace,When does an A2P advancement become effective?,On the date the Sailor checks onboard the ultimate duty station and is placed into billet at the higher pay grade,On the date orders are issued,On the first day of the following month,On the date the selection board adjourns,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=155,155,"1430.16H, 21 Jan 2026",A2P advancements are effective on the date a Sailor checks onboard his or her ultimate duty station and is placed into billet at the higher pay grade.,PASS,Found on stated page.,PASS,
ADV040,PS,E-5,Manning & Manpower Management,Alternative Advancement,Command Advance to Position,What document is required to effect a CA2P advancement?,A special evaluation,A NAVPERS 1070/613,An approved manning realignment request,An exception to policy letter,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=155,155,"1430.16H, 21 Jan 2026",CA2P requires an approved manning realignment request (MRR).,PASS,Found on stated page.,PASS,
ADV041,PS,E-4,Education Services,Advancement System Overview,Navy Enlisted Advancement System Overview,"On what basis are personnel automatically advanced to E-2, E-3, and E-4?",Time in rate only,Minimum time in service requirements,Command recommendation,Exam score,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=16,16,"1430.16H, 21 Jan 2026","Personnel meeting minimum time in service (TIS) requirements will be automatically advanced to E-2, E-3, and E-4 without local action.",PASS,Found on stated page.,PASS,
ADV042,PS,E-4,Education Services,Advancement System Overview,Navy Enlisted Advancement System Overview,Is a special performance evaluation required to document the advancement recommendation for automatic E-2 through E-4 advancement?,Only for E-4,Yes,Only for SELRES,No,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=16,16,"1430.16H, 21 Jan 2026",A special performance evaluation is not required to document recommendation for advancement.,PASS,Found on stated page.,PASS,
ADV043,PS,E-5,Education Services,Advancement System Overview,Navy Enlisted Advancement System Overview,Who provides the quotas that determine E-5 and E-6 NWAE advancements?,NETPDC,OPNAV N13,The Chief of Naval Personnel,The type commander,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=16,16,"1430.16H, 21 Jan 2026",E-5 and E-6 NWAE advancements are determined from quotas provided by the Chief of Naval Personnel (CHNAVPERS).,PASS,Found on stated page.,PASS,
ADV044,PS,E-5,Education Services,Advancement System Overview,Navy Enlisted Advancement System Overview,On what are CHNAVPERS advancement quotas primarily based?,Manpower needs for each NWAE rate/competitive group,Total candidates who passed,Exam difficulty,Retention rates,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=16,16,"1430.16H, 21 Jan 2026",The quotas established by CHNAVPERS are based primarily on manpower needs for each NWAE rate/competitive group.,PASS,Found on stated page.,PASS,
ADV045,PS,E-5,Education Services,Final Multiple Score,Final Multiple Score Computation,How are candidates within an NWAE rate/competitive group ordered to set the advancement cut?,By exam standard score alone,By time in rate,Alphabetically,Rank-ordered by FMS,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=16,16,"1430.16H, 21 Jan 2026","Each NWAE rate/competitive group is rank-ordered by FMS, and FMS cuts are set to match the quotas.",PASS,Found on stated page.,PASS,
ADV048,PS,E-5,Education Services,Final Multiple Score,Final Multiple Score Computation,What is the maximum performance mark average used in FMS computation?,3.80,6.00,5.20,4.00,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=17,17,"1430.16H, 21 Jan 2026",Maximum performance mark average (PMA) = 4.00. Refer to chapter 3 for instructions on determining PMA.,PASS,Found on stated page.,PASS,
ADV049,PS,E-6,Education Services,Final Multiple Score,Final Multiple Score Computation,What is the maximum RSCA PMA used in FMS computation?,4.00,5.20,6.00,4.80,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=17,17,"1430.16H, 21 Jan 2026",Maximum RSCA PMA = 5.20. Refer to chapter 3 for instructions on determining RSCA PMA.,PASS,Found on stated page.,PASS,
ADV050,PS,E-5,Education Services,Final Multiple Score,Final Multiple Score Computation,What is the range of standard scores for the NWAE or RKE?,30 to 70,0 to 100,40 to 90,20 to 80,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=17,17,"1430.16H, 21 Jan 2026",The range of the standard scores for the NWAE or RKE is 20 to 80.,PASS,Found on stated page.,PASS,
ADV051,PS,E-5,Education Services,Final Multiple Score,Final Multiple Score Computation,What is the maximum number of PNA points a candidate may earn?,3,6,9,12,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=17,17,"1430.16H, 21 Jan 2026",Maximum PNA points = 9 for the most recent 3 consecutive advancement cycles in the same pay grade.,PASS,Found on stated page.,PASS,
ADV052,PS,E-5,Education Services,Final Multiple Score,Final Multiple Score Computation,What are PNA points called when earned on an RKE?,Bonus advancement points,Marketplace points,Quality bonus points,Retention points,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=17,17,"1430.16H, 21 Jan 2026",PNA points for an RKE are referred to as quality bonus points (QBP).,PASS,Found on stated page.,PASS,
ADV053,PS,E-6,Education Services,Final Multiple Score,Final Multiple Score Computation,"For SELRES candidates, what replaces service in pay grade in the FMS?",Satisfactory participation points,Annual training credit,Drill service in pay grade,Time in service,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=17,17,"1430.16H, 21 Jan 2026","For SELRES, service in pay grade (SIPG) is drill service in pay grade (DSPG).",PASS,Found on stated page.,PASS,
